timestamp,load_forecast_k1,load_forecast_k2,load_forecast_k3,load_forecast_k4,load_forecast_k5
1/16/07 19:00,11663,11663,11663,11663,11663
1/16/07 20:00,11124,11124,11124,11124,11124
1/16/07 21:00,11456,11456,11456,11456,11456
1/16/07 22:00,11496,11496,11496,11496,11496
1/16/07 23:00,10812,10812,10812,10812,10812
1/17/07 0:00,10249,10249,10249,10249,10249
1/17/07 1:00,9840,9840,9840,9840,9840
1/17/07 2:00,9629,9629,9629,9629,9629
1/17/07 3:00,9515,9515,9515,9515,9515
1/17/07 4:00,9465,9465,9465,9465,9465
1/17/07 5:00,9730,9730,9730,9730,9730
1/17/07 6:00,10038,10038,10038,10038,10038
1/17/07 7:00,10602,10602,10602,10602,10602
1/17/07 8:00,11054,11054,11054,11054,11054
1/17/07 9:00,11206,11206,11206,11206,11206
1/17/07 10:00,11299,11299,11299,11299,11299
1/17/07 11:00,11365,11365,11365,11365,11365
1/17/07 12:00,11143,11143,11143,11143,11143
1/17/07 13:00,10844,10844,10844,10844,10844
1/17/07 14:00,10703,10703,10703,10703,10703
1/17/07 15:00,10714,10714,10714,10714,10714
1/17/07 16:00,11433,11433,11433,11433,11433
1/17/07 17:00,11867,11867,11867,11867,11867
1/17/07 18:00,11557,11557,11557,11557,11557
1/17/07 19:00,11116,11116,11116,11116,11116
1/17/07 20:00,10619,10619,10619,10619,10619
1/17/07 21:00,10837,10837,10837,10837,10837
1/17/07 22:00,10948,10948,10948,10948,10948
1/17/07 23:00,10326,10326,10326,10326,10326
1/18/07 0:00,9841,9841,9841,9841,9841
1/18/07 1:00,9534,9534,9534,9534,9534
1/18/07 2:00,9183,9183,9183,9183,9183
1/18/07 3:00,9072,9072,9072,9072,9072
1/18/07 4:00,9065,9065,9065,9065,9065
1/18/07 5:00,9199,9199,9199,9199,9199
1/18/07 6:00,9235,9235,9235,9235,9235
1/18/07 7:00,9657,9657,9657,9657,9657
1/18/07 8:00,10278,10278,10278,10278,10278
1/18/07 9:00,10704,10704,10704,10704,10704
1/18/07 10:00,11057,11057,11057,11057,11057
1/18/07 11:00,11205,11205,11205,11205,11205
1/18/07 12:00,10883,10883,10883,10883,10883
