Hour,day_ahead_norm,Wind Farm 1 (MW),day_ahead_norm,Wind Farm 2 (MW),day_ahead_norm,Wind Farm 3 (MW),day_ahead_norm,Wind Farm 4 (MW),day_ahead_norm,Wind Farm 5 (MW),Wind Farm 6 (MW),day_ahead_norm,Offshore Wind1 (MW),Offshore Wind (MW),year
1/2/07 13:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.935444713,14031.6707,2007
1/2/07 14:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.908917844,13633.76766,2007
1/2/07 15:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.875302315,13129.53473,2007
1/2/07 16:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.840528905,12607.93358,2007
1/2/07 17:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.805236936,12078.55404,2007
1/2/07 18:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.767602861,11514.04292,2007
1/2/07 19:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.739540875,11093.11313,2007
1/2/07 20:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.709145486,10637.18229,2007
1/2/07 21:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.674879372,10123.19058,2007
1/2/07 22:00,0.657383025,9860.74537,0.745448649,11181.72973,0.759745777,11396.18665,0.693275571,10399.13356,0.667244375,10008.66562,11126.95545,0.74179703,0.640951753,9614.276295,2007
